THIS IS A SAMPLE MECHANISM FILE IN A. ARCHIBALS'S SPREADSHEET FORMAT																							
Note: This file does not constitute a full chemical mechanism and should not be used in model applications																							
It is merely a subset of reaction equations for testin gthe python package AtmosphericChemistry																							
																							
																							
EQUATIONS																							
code	reac.1	reac.2	reac.3	prod.1	prod.2	prod.3	prod.4	prod.5	prod.6	prod.7	prod.8	prod.9	prod.10	ai.fac	bi.fac	ei.fac	a0.fac	b0.fac	e0.fac	ffac	mech	rxn.type	comment
[H2O2_O]	H2O2	O	NA	OH	HO2	NA	NA	NA	NA	NA	NA	NA	NA	1.40E-12	NA	-2000	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[HCN_OH]	HCN	OH	M	HO2	M	NA	NA	NA	NA	NA	NA	NA	NA	9.30E-15	-4.42	NA	4.28E-33	0	NA	0.8	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3CN_OH]	CH3CN	OH	NA	HO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.80E-13	NA	-1050	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO_O_M]	NO	O	M	NO2	M	NA	NA	NA	NA	NA	NA	NA	NA	3.00E-11	0	NA	9.00E-32	1.5	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p1]	NO	HO2	NA	NO2	OH	NA	NA	NA	NA	NA	NA	NA	NA	3.30E-12	NA	270	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO_O3]	NO	O3	NA	NO2	O2	NA	NA	NA	NA	NA	NA	NA	NA	3.00E-12	NA	-1500	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO2_O]	NO2	O	NA	NO	O2	NA	NA	NA	NA	NA	NA	NA	NA	5.10E-12	NA	210	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO2_O_M]	NO2	O	M	NO3	M	NA	NA	NA	NA	NA	NA	NA	NA	2.20E-11	0.7	NA	2.50E-31	1.8	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO2_O3]	NO2	O3	NA	NO3	O2	NA	NA	NA	NA	NA	NA	NA	NA	1.20E-13	NA	-2450	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[tag_NO2_NO3]	NO2	NO3	M	N2O5	M	NA	NA	NA	NA	NA	NA	NA	NA	1.40E-12	0.7	NA	2.00E-30	4.4	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[usr_N2O5_M]	N2O5	M	NA	NO2	NO3	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[tag_NO2_OH]	NO2	OH	M	HNO3	M	NA	NA	NA	NA	NA	NA	NA	NA	2.80E-11	0	NA	1.80E-30	3	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[usr_HNO3_OH]	HNO3	OH	NA	NO3	H2O	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO3_NO]	NO3	NO	NA	2*NO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.50E-11	NA	170	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO3_O]	NO3	O	NA	NO2	O2	NA	NA	NA	NA	NA	NA	NA	NA	1.00E-11	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[NO3_OH]	NO3	OH	NA	HO2	NO2	NA	NA	NA	NA	NA	NA	NA	NA	2.20E-11	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p2]	CH3O2	NO	NA	CH2O	NO2	HO2	NA	NA	NA	NA	NA	NA	NA	2.80E-12	NA	300	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3O2_HO2]	CH3O2	HO2	NA	CH3OOH	O2	NA	NA	NA	NA	NA	NA	NA	NA	4.10E-13	NA	750	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3O2_CH3O2a]	CH3O2	CH3O2	NA	2*CH2O	2*HO2	NA	NA	NA	NA	NA	NA	NA	NA	5.00E-13	NA	-424	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3O2_CH3O2b]	CH3O2	CH3O2	NA	CH2O	CH3OH	NA	NA	NA	NA	NA	NA	NA	NA	1.90E-14	NA	706	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3OH_OH]	CH3OH	OH	NA	HO2	CH2O	NA	NA	NA	NA	NA	NA	NA	NA	2.90E-12	NA	-345	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3OOH_OH]	CH3OOH	OH	NA	.7*CH3O2	.3*OH	.3*CH2O	H2O	NA	NA	NA	NA	NA	NA	3.80E-12	NA	200	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[HCOOH_OH]	HCOOH	OH	NA	HO2	CO2	H2O	NA	NA	NA	NA	NA	NA	NA	4.50E-13	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[HOCH2OO_M]	HOCH2OO	NA	NA	CH2O	HO2	NA	NA	NA	NA	NA	NA	NA	NA	2.40E+12	NA	-7000	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[HOCH2OO_NO]	HOCH2OO	NO	NA	HCOOH	NO2	HO2	NA	NA	NA	NA	NA	NA	NA	2.60E-12	NA	265	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[HOCH2OO_HO2]	HOCH2OO	HO2	NA	HCOOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.50E-13	NA	700	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C2H2_OH_M]	C2H2	OH	M	.65*GLYOXAL	.65*OH	.35*HCOOH	.35*HO2	.35*CO	M	NA	NA	NA	NA	8.30E-13	-2	NA	5.50E-30	0	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C2H6_OH]	C2H6	OH	NA	C2H5O2	H2O	NA	NA	NA	NA	NA	NA	NA	NA	7.66E-12	NA	-1020	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[tag_C2H4_OH]	C2H4	OH	M	EO2	M	NA	NA	NA	NA	NA	NA	NA	NA	9.00E-12	0.85	NA	8.60E-29	3.1	NA	0.48	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p16]	EO2	NO	NA	0.5*CH2O	0.25*HO2	0.75*EO	NO2	NA	NA	NA	NA	NA	NA	4.20E-12	NA	180	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[EO2_HO2]	EO2	HO2	NA	EOOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.50E-13	NA	700	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[EO_O2]	EO	O2	NA	GLYALD	HO2	NA	NA	NA	NA	NA	NA	NA	NA	1.00E-14	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[EO_M]	EO	NA	NA	2*CH2O	HO2	NA	NA	NA	NA	NA	NA	NA	NA	1.60E+11	NA	-4150	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_l6]	C2H4	O3	NA	CH2O	.12*HO2	.5*CO	.12*OH	.5*HCOOH	NA	NA	NA	NA	NA	1.20E-14	NA	-2630	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3COOH_OH]	CH3COOH	OH	NA	CH3O2	CO2	H2O	NA	NA	NA	NA	NA	NA	NA	7.00E-13	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p5]	C2H5O2	NO	NA	CH3CHO	HO2	NO2	NA	NA	NA	NA	NA	NA	NA	2.60E-12	NA	365	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C2H5O2_HO2]	C2H5O2	HO2	NA	C2H5OOH	O2	NA	NA	NA	NA	NA	NA	NA	NA	7.50E-13	NA	700	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C2H5O2_CH3O2]	C2H5O2	CH3O2	NA	.7*CH2O	.8*CH3CHO	HO2	.3*CH3OH	.2*C2H5OH	NA	NA	NA	NA	NA	2.00E-13	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C2H5O2_C2H5O2]	C2H5O2	C2H5O2	NA	1.6*CH3CHO	1.2*HO2	.4*C2H5OH	NA	NA	NA	NA	NA	NA	NA	6.80E-14	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C2H5OOH_OH]	C2H5OOH	OH	NA	.5*C2H5O2	.5*CH3CHO	.5*OH	NA	NA	NA	NA	NA	NA	NA	3.80E-12	NA	200	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3CHO_OH]	CH3CHO	OH	NA	CH3CO3	H2O	NA	NA	NA	NA	NA	NA	NA	NA	4.63E-12	NA	350	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3CHO_NO3]	CH3CHO	NO3	NA	CH3CO3	HNO3	NA	NA	NA	NA	NA	NA	NA	NA	1.40E-12	NA	-1900	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p4]	CH3CO3	NO	NA	CH3O2	CO2	NO2	NA	NA	NA	NA	NA	NA	NA	8.10E-12	NA	270	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[tag_CH3CO3_NO2]	CH3CO3	NO2	M	PAN	M	NA	NA	NA	NA	NA	NA	NA	NA	9.30E-12	1.5	NA	9.70E-29	5.6	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3CO3_HO2]	CH3CO3	HO2	NA	.75*CH3COOOH	.25*CH3COOH	.25*O3	NA	NA	NA	NA	NA	NA	NA	4.30E-13	NA	1040	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3CO3_CH3O2]	CH3CO3	CH3O2	NA	.9*CH3O2	CH2O	.9*HO2	.9*CO2	.1*CH3COOH	NA	NA	NA	NA	NA	2.00E-12	NA	500	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_l4]	C3H6	O3	NA	.54*CH2O	.19*HO2	.33*OH	.08*CH4	.56*CO	.5*CH3CHO	.31*CH3O2	.25*CH3COOH	NA	NA	6.50E-15	NA	-1900	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C3H6_NO3]	C3H6	NO3	NA	ONIT	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.60E-13	NA	-1156	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p9]	C3H7O2	NO	NA	.82*CH3COCH3	NO2	HO2	.27*CH3CHO	NA	NA	NA	NA	NA	NA	4.20E-12	NA	180	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C3H7O2_HO2]	C3H7O2	HO2	NA	C3H7OOH	O2	NA	NA	NA	NA	NA	NA	NA	NA	7.50E-13	NA	700	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3H7O2_CH3O2]	C3H7O2	CH3O2	NA	CH2O	HO2	.82*CH3COCH3	NA	NA	NA	NA	NA	NA	NA	3.75E-13	NA	-40	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3H7OOH_OH]	C3H7OOH	OH	NA	H2O	C3H7O2	NA	NA	NA	NA	NA	NA	NA	NA	3.80E-12	NA	200	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[C3H8_OH]	C3H8	OH	NA	C3H7O2	H2O	NA	NA	NA	NA	NA	NA	NA	NA	8.70E-12	NA	-615	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_p3]	PO2	NO	NA	CH3CHO	CH2O	HO2	NO2	NA	NA	NA	NA	NA	NA	4.20E-12	NA	180	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3COCHO_OH]	CH3COCHO	OH	NA	CH3CO3	CO	H2O	NA	NA	NA	NA	NA	NA	NA	8.40E-13	NA	830	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[CH3COCHO_NO3]	CH3COCHO	NO3	NA	HNO3	CO	CH3CO3	NA	NA	NA	NA	NA	NA	NA	1.40E-12	NA	-1860	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[rxn_Rn]	Rn	NA	NA	Pb	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.10E-06	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[usr_N2O5_aer]	N2O5	NA	NA	2*HNO3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[DMS_OHb]	DMS	OH	NA	SO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.60E-12	NA	-234	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[usr_DMS_OH]	DMS	OH	NA	.5*SO2	.5*HO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[DMS_NO3]	DMS	NO3	NA	SO2	HNO3	NA	NA	NA	NA	NA	NA	NA	NA	1.90E-13	NA	520	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
END EQUATIONS																							
																							
																							
																							
Additional comments can be added after the END EQUATIONS label																							
